titre,artiste,formats,formats_discogs,year,labels,genres,styles
Blow Wynn Blow,Jim Wynn,LP,Vinyl,1985,"""Whiskey, Women, And ...""","Jazz, Blues","Rhythm & Blues, Vocal"
Time Change Ready - Anniversary Compilation,Ella Mai,LP,Vinyl,2022,10 Summers Records,"Funk / Soul, Pop",Contemporary R&B
Showbiz!,Mike (408),2LP,Vinyl,2025,10K,Hip Hop,
Fada<3of$,Niontay,LP,Vinyl,2025,10K,Hip Hop,Trap
Showbiz!,Mike (408),2CD,CDr,2025,10K,Hip Hop,
Pinball I And II,"Mike (408), Tony Seltzer",2LP,Vinyl,2025,10K,Hip Hop,
Sweet Justice,Tkay Maidza,LP,Vinyl,2023,4AD,"Electronic, Hip Hop, Funk / Soul, Pop","Pop Rap, Contemporary R&B, Hip-House, Industrial"
Ips�it�,Damso,LP,Vinyl,0,92I,Hip Hop,Hardcore Hip-Hop
A_A,A_A,2LP,Vinyl,2018,A_A,Electronic,Techno
Control,Janet Jackson,LP,Vinyl,1986,A&M Records,"Electronic, Funk / Soul, Pop","Contemporary R&B, Synth-pop"
Breakfast In America,Supertramp,LP,Vinyl,1979,A&M Records,Rock,"Art Rock, Pop Rock"
Sinc�rement,Hamza (6),2LP,Vinyl,2023,ADA France,Hip Hop,Cloud Rap
An Evening With Silk Sonic,Silk Sonic,LP,Vinyl,2022,Aftermath Entertainment,Funk / Soul,"Contemporary R&B, Soul, Funk, Hip Hop, Disco"
Oxnard,Anderson .Paak,2LP,Vinyl,2019,Aftermath Entertainment,"Hip Hop, Funk / Soul","Conscious, Neo Soul"
Sometimes I Might Be Introvert,Little Simz,2LP,Vinyl,2022,Age 101 Music,Hip Hop,Conscious
Raise!,"Earth, Wind & Fire",LP,Vinyl,1981,ARC (3),Funk / Soul,"Disco, Soul, Funk"
6 Brandenburgische Konzerte,"Johann Sebastian Bach, M�nchener Bach-Orchester, Karl Richter",2LP,Vinyl,0,Archiv Produktion,Classical,Baroque
The Bodyguard (Original Soundtrack Album),Various,LP,Vinyl,1992,Arista,"Rock, Pop, Stage & Screen","House, Modern Classical, Pop Rock, Synth-pop, Soft Rock, Soundtrack"
Watch Out!,Patrice Rushen,LP,Vinyl,1987,Arista,"Jazz, Funk / Soul","Contemporary R&B, Contemporary Jazz"
Watch Out,Patrice Rushen,LP,Vinyl,1987,Arista,"Electronic, Funk / Soul",Disco
Hotel California,Eagles,LP,Vinyl,1976,Asylum Records,Rock,"Classic Rock, Country Rock"
Bird's Eye,Ravyn Lenae,LP,Vinyl,2024,Atlantic,"Funk / Soul, Blues, Pop",Contemporary R&B
Love Confessions,Miki Howard,LP,Vinyl,1987,Atlantic,Funk / Soul,Soul
Brandy,Brandy (2),2LP,Vinyl,2017,Atlantic,"Hip Hop, Funk / Soul",Contemporary R&B
Hard Core,Lil' Kim,2LP,Vinyl,2023,Atlantic,Hip Hop,
Heaven Or Hell,Don Toliver,LP,Vinyl,2023,Atlantic,Hip Hop,"Trap, Contemporary R&B"
Eternal Atake (Deluxe) / LUV vs. The World 2,Lil Uzi Vert,3LP,Vinyl,2025,Atlantic,Hip Hop,"Trap, Pop Rap, Cloud Rap"
Luv Is Rage,Lil Uzi Vert,LP,Vinyl,2024,Atlantic,Hip Hop,Trap
Pink Tape,Lil Uzi Vert,2LP,Vinyl,2023,Atlantic,"Hip Hop, Rock","Trap, Pop Rap, Cloud Rap, Alternative Metal"
Luv Is Rage 2,Lil Uzi Vert,2LP,Vinyl,2023,Atlantic,Hip Hop,"Trap, Cloud Rap, Pop Rap"
Luv Is Rage 2,Lil Uzi Vert,2CD,CD,2017,Atlantic,Hip Hop,"Trap, Cloud Rap, Pop Rap"
Music,Playboi Carti,2LP,Vinyl,2025,AWGE,Hip Hop,"Trap, Cloud Rap, Pop Rap, Hardcore Hip-Hop, Experimental"
Die Lit,Playboi Carti,2LP,Vinyl,2025,AWGE,Hip Hop,"Cloud Rap, Trap, Pop Rap"
Playboi Carti,Playboi Carti,LP,Vinyl,2017,AWGE,Hip Hop,"Trap, Cloud Rap"
The Age Of Pleasure,Janelle Mon�e,LP,Vinyl,2023,Bad Boy Entertainment,"Reggae, Funk / Soul","Contemporary R&B, Reggae-Pop"
17,Xxxtentacion,LP,Vinyl,2018,Bad Vibes Forever,"Hip Hop, Rock","Lo-Fi, Indie Rock, Emo, Acoustic"
Lost & Found,Jorja Smith,LP,Vinyl,2022,Because Music,"Electronic, Hip Hop, Funk / Soul",Contemporary R&B
